period,open_funds_count,open_funds_assets,closed_funds_count,closed_funds_assets,total_funds_count,total_assets,local_shares,foreign_shares,local_bonds,foreign_bonds,local_funds,foreign_funds,local_other,foreign_other,local_real_estate,total_assets_by_type,active_funds_count,subscribers_count,local_assets_total,foreign_assets_total,grand_total_assets,local_pct,foreign_pct
2012-04-01,230.0,85793.0,11.0,1674.0,241.0,87467.0,19059.0,9363.0,2729.0,2145.0,44469.0,6633.0,705.0,365.0,1999.0,87467.0,241,283836,68961.0,18506.0,87467.0,78.84,21.16
2012-07-01,228.0,88411.0,11.0,1672.0,239.0,90083.0,19409.0,10092.0,2026.0,2200.0,46491.0,6783.0,995.0,204.0,1883.0,90083.0,239,279654,70804.0,19279.0,90083.0,78.6,21.4
2012-10-01,229.0,86324.0,11.0,1744.0,240.0,88068.0,19192.0,10354.0,2086.0,1807.0,44874.0,6034.0,1844.0,60.0,1817.0,88068.0,240,275624,69812.0,18256.0,88068.0,79.27,20.73
2013-01-01,229.0,90654.0,11.0,1871.0,240.0,92525.0,20357.0,10339.0,2204.0,1932.0,44104.0,9665.0,1277.0,373.0,2274.0,92525.0,240,270864,70216.0,22309.0,92525.0,75.89,24.11
2013-04-01,230.0,98272.0,11.0,1949.0,241.0,100221.0,21170.0,10203.0,2305.0,1737.0,50256.0,9961.0,1770.0,356.0,2463.0,100221.0,241,265512,77964.0,22257.0,100221.0,77.79,22.21
2013-07-01,233.0,101143.0,10.0,2214.0,243.0,103357.0,22938.0,11251.0,2455.0,2399.0,47056.0,9622.0,5034.0,835.0,1767.0,103357.0,243,261544,79250.0,24107.0,103357.0,76.68,23.32
2013-10-01,226.0,100644.0,10.0,2535.0,236.0,103179.0,23639.0,12170.0,2878.0,1731.0,50809.0,7005.0,1411.0,409.0,3127.0,103179.0,236,258110,81863.0,21316.0,103179.0,79.34,20.66
2014-01-01,229.0,105712.0,11.0,2695.0,240.0,108407.0,28548.0,10999.0,4010.0,1829.0,50962.0,6194.0,1782.0,457.0,3626.0,108407.0,240,256440,88928.0,19479.0,108407.0,82.03,17.97
2014-04-01,237.0,112798.0,12.0,3119.0,249.0,115917.0,27036.0,11342.0,4361.0,1871.0,55825.0,8392.0,2293.0,469.0,4328.0,115917.0,249,254154,93842.0,22075.0,115917.0,80.96,19.04
2014-07-01,238.0,118423.0,12.0,3112.0,250.0,121535.0,31816.0,11327.0,3904.0,2123.0,57424.0,7526.0,2608.0,628.0,4179.0,121535.0,250,251756,99931.0,21604.0,121535.0,82.22,17.78
2014-10-01,242.0,107711.0,10.0,3000.0,252.0,110711.0,24477.0,11215.0,3973.0,2019.0,45674.0,15194.0,4189.0,410.0,3560.0,110711.0,252,246031,81873.0,28838.0,110711.0,73.95,26.05
2015-01-01,247.0,110285.0,8.0,2067.0,255.0,112352.0,25874.0,11409.0,4518.0,1937.0,52086.0,10227.0,2292.0,436.0,3573.0,112352.0,255,242802,88343.0,24009.0,112352.0,78.63,21.37
2015-04-01,254.0,117569.0,9.0,2410.0,263.0,119979.0,28781.0,11269.0,5240.0,2218.0,52720.0,9947.0,5754.0,469.0,3581.0,119979.0,263,242818,96076.0,23903.0,119979.0,80.08,19.92
2015-07-01,257.0,111151.0,9.0,2372.0,266.0,113523.0,23320.0,10122.0,5909.0,2283.0,53936.0,9467.0,4471.0,436.0,3579.0,113523.0,266,239182,90749.0,22774.0,113523.0,79.94,20.06
2015-10-01,261.0,100572.0,9.0,2326.0,270.0,102898.0,20025.0,10573.0,5830.0,2017.0,43691.0,12976.0,4014.0,407.0,3365.0,102898.0,270,236977,75920.0,26978.0,102898.0,73.78,26.22
2016-01-01,268.0,88923.0,9.0,2272.0,277.0,91195.0,16777.0,6756.0,6568.0,2230.0,34881.0,14041.0,5490.0,2348.0,2104.0,91195.0,277,234047,65815.0,25380.0,91195.0,72.17,27.83
2016-04-01,269.0,86997.0,9.0,2213.0,278.0,89210.0,17787.0,6471.0,5656.0,1621.0,38595.0,10600.0,4568.0,443.0,3469.0,89210.0,278,228325,70075.0,19135.0,89210.0,78.55,21.45
2016-07-01,266.0,79806.0,11.0,2010.0,277.0,81816.0,13836.0,4635.0,5843.0,1389.0,39957.0,8703.0,3605.0,397.0,3451.0,81816.0,277,225849,66692.0,15124.0,81816.0,81.51,18.49
2016-10-01,263.0,84976.0,12.0,2859.0,275.0,87836.0,16386.41,4940.25,5576.97,1282.39,40793.35,10569.88,4698.49,388.41,3199.51,87835.66,275,224411,70655.0,17181.0,87836.0,80.44,19.56
2017-01-01,263.0,101891.0,12.0,2640.0,275.0,104531.0,17119.0,4725.0,5716.0,1331.0,53412.0,14869.0,3883.0,565.0,2911.0,104531.0,275,224244,83041.0,21490.0,104531.0,79.44,20.56
2017-04-01,262.0,107244.0,13.0,3183.0,275.0,110427.0,18985.0,4849.0,5061.0,1323.0,56704.0,16588.0,3268.0,461.0,3188.0,110427.0,275,229515,86133.0,24294.0,110427.0,78.0,22.0
2017-07-01,261.0,106901.0,17.0,5752.0,278.0,112653.0,19156.0,4983.0,5042.0,1470.0,56929.0,17716.0,2802.0,561.0,3994.0,112653.0,278,235190,87923.0,24730.0,112653.0,78.05,21.95
2017-10-01,255.0,98250.59,18.0,11982.18,273.0,110232.77,17988.13,5420.2,4996.24,1527.84,55168.83,11597.79,8743.02,541.53,4249.17,110232.75,273,238445,91145.39,19087.38,110232.77,82.68,17.32
2018-01-01,239.0,102135.45,23.0,17949.45,262.0,120084.9,21053.0,5187.0,4874.0,1377.0,56427.0,13155.0,8834.0,380.0,8798.0,120085.0,262,294789,94949.45,25135.45,120084.9,79.07,20.93
2018-04-01,241.0,100121.0,23.0,18941.0,264.0,119062.0,21754.0,4867.0,4556.0,1469.0,59258.0,8565.0,8976.0,319.0,9298.0,119062.0,264,311231,103843.0,15219.0,119062.0,87.22,12.78
2018-07-01,240.0,95644.2,24.0,22210.9,264.0,117855.1,22178.8,4632.1,4313.7,1315.5,55360.1,8782.6,9419.1,175.3,11677.9,117855.1,264,326902,102949.6,14905.5,117855.1,87.35,12.65
2018-10-01,223.0,87365.9,26.0,24495.8,249.0,111861.7,21512.3,4320.9,4493.6,1032.4,45446.7,12736.0,2588.0,123.2,19608.6,111861.7,249,332567,93649.5,18212.2,111861.7,83.72,16.28
